FirstName,LastName,SamAccountName,UserPrincipalName,Password,OU,Department
amit,akkc,akkc,akkc@mylab.local,Welc0me@123,"CN=Users,DC=mylab,DC=local",Admin
amit1,akkc1,akkc1,akkc1@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit2,akkc2,akkc2,akkc2@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit3,akkc3,akkc3,akkc3@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit4,akkc4,akkc4,akkc4@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit5,akkc5,akkc5,akkc5@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit6,akkc6,akkc6,akkc6@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit7,akkc7,akkc7,akkc7@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit8,akkc8,akkc8,akkc8@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit9,akkc9,akkc9,akkc9@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit10,akkc10,akkc10,akkc10@mylab.local,Welc0me@123,"OU=HR,DC=mylab,DC=local",HR
amit11,akkc11,akkc11,akkc11@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit12,akkc12,akkc12,akkc12@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit13,akkc13,akkc13,akkc13@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit14,akkc14,akkc14,akkc14@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit15,akkc15,akkc15,akkc15@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit16,akkc16,akkc16,akkc16@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit17,akkc17,akkc17,akkc17@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit18,akkc18,akkc18,akkc18@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit19,akkc19,akkc19,akkc19@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
amit20,akkc20,akkc20,akkc20@mylab.local,Welc0me@123,"OU=MARKETING,DC=mylab,DC=local",MARKETING
